Line Name,Omics Sample ID,Strain (ICE),Genotype,GLCe (mmol/gDW/hr),3hpp_e (mmol/gDW/hr),ETHe (mmol/gDW/hr),EOLe (mmol/gDW/hr),CITe (mmol/gDW/hr)
SF ABF180_1_R1,SF ABF180_1_R1,ABF_008340,wild-type,-3.8249361432467794,0.0,-0.7926085356373009,0.0034066691319002995,0.013740132514560917
SF ABF180_1_R2,SF ABF180_1_R2,ABF_008340,wild-type,-3.557248690599343,0.0,-0.678005149495258,0.012109345478282298,0.009979278938187808
SF ABF180_1_R3,SF ABF180_1_R3,ABF_008340,wild-type,-3.4154708217093472,0.0,-1.0805244273295855,0.01023368657665477,0.009554391265813492
SF ABF180_2_R1,SF ABF180_2_R1,ABF_008343,(βAl-3HP)+,-5.928542581079203,2.0403967119703603,-0.35273589207114187,0.02262776695268663,-0.001311941980438897
SF ABF180_2_R2,SF ABF180_2_R2,ABF_008343,(βAl-3HP)+,-5.792076573299648,2.0992987662767515,-0.5392601238097321,0.00530819871338664,-0.0029345520290596527
SF ABF180_2_R3,SF ABF180_2_R3,ABF_008343,(βAl-3HP)+,-6.3615101976714685,2.1628920429763516,-0.19048115536611554,0.018074148855475362,0.0021340650528953436
SF ABF180_3_R1,SF ABF180_3_R1,ABF_008345,"(βAl-3HP)+, pyc2+",-6.035393256020164,3.3785827158422728,-0.5426155026699251,0.03511700633161344,0.02514087320332989
SF ABF180_3_R2,SF ABF180_3_R2,ABF_008345,"(βAl-3HP)+, pyc2+",-6.150907263442817,3.0906279721483245,-0.6736375270641327,0.044421555460841804,0.032356404952943216
SF ABF180_3_R3,SF ABF180_3_R3,ABF_008345,"(βAl-3HP)+, pyc2+",-5.683482890361203,2.958156607644224,-0.6525628745670146,0.05408631633416655,0.03438089425948558
SF ABF180_4_R1,SF ABF180_4_R1,ABF_008348,"(βAl-3HP)+, pyc2+, Δald6a",-7.529496938167357,5.73720926327432,-0.579656069809143,0.0744449731617401,0.028449063028007905
SF ABF180_4_R2,SF ABF180_4_R2,ABF_008348,"(βAl-3HP)+, pyc2+, Δald6a",-6.285796497339692,4.601273452264058,-0.7695188939067537,0.03947195889467598,0.036527840769646096
SF ABF180_4_R3,SF ABF180_4_R3,ABF_008348,"(βAl-3HP)+, pyc2+, Δald6a",-6.407739308896362,5.63376731547875,-0.8153079120197688,0.08748755654455993,0.025487366938866645
SF ABF180_5_R1,SF ABF180_5_R1,ABF_011231,"(βAl-3HP)+, pyc2+, Δald6a, aat2(cy)+",-7.962112172505575,6.693995801482352,-1.237243300462621,0.012941153909092479,0.0
SF ABF180_5_R2,SF ABF180_5_R2,ABF_011231,"(βAl-3HP)+, pyc2+, Δald6a, aat2(cy)+",-6.699681885462176,6.37158469051489,-1.0763316117579482,0.017277337524699152,0.0
SF ABF180_5_R3,SF ABF180_5_R3,ABF_011231,"(βAl-3HP)+, pyc2+, Δald6a, aat2(cy)+",-8.56294223808814,7.275316463362509,-1.1648588049880602,0.023991851781818643,0.01988057291367563
SF ABF180_6_R1,SF ABF180_6_R1,ABF_011232,"(βAl-3HP)+, pyc2+, Δald6a, aat2(mt)+",-4.685300990048232,3.105170331639431,-0.49177871072915685,0.08239332016744895,0.0010887357159950638
SF ABF180_6_R2,SF ABF180_6_R2,ABF_011232,"(βAl-3HP)+, pyc2+, Δald6a, aat2(mt)+",-5.618223668139457,3.1106782399532436,-0.4962982453662213,0.12814103253269876,0.013127299943153611
SF ABF180_6_R3,SF ABF180_6_R3,ABF_011232,"(βAl-3HP)+, pyc2+, Δald6a, aat2(mt)+",-5.542779241514972,2.7464238137341526,-0.5696653710893558,0.08787252838916242,-0.0016020534061292728
SF ABF180_7_R1,SF ABF180_7_R1,ABF_011233,"(βAl-3HP)+, pyc2++, Δald6a",-5.098406465667202,4.586208474981826,-0.5991369377691352,0.060219232740224136,0.03628091507343866
SF ABF180_7_R2,SF ABF180_7_R2,ABF_011233,"(βAl-3HP)+, pyc2++, Δald6a",-6.274038835460685,5.970159482175854,-0.4836376068791873,0.04029036111178911,0.0
SF ABF180_7_R3,SF ABF180_7_R3,ABF_011233,"(βAl-3HP)+, pyc2++, Δald6a",-5.781677277891764,5.187654345688584,-0.5834968848989783,0.038707296705184906,0.0
SF ABF180_8_R1,SF ABF180_8_R1,ABF_011234,"(βAl-3HP)+, pyc2+, Δald6a, mdhA+",-5.759331825586927,4.227130182384109,-0.5035127686153146,0.06493956684693829,0.0
SF ABF180_8_R2,SF ABF180_8_R2,ABF_011234,"(βAl-3HP)+, pyc2+, Δald6a, mdhA+",-4.875432835576225,3.8252491299203815,-0.6835957142053329,0.055275184405626815,0.0
SF ABF180_8_R3,SF ABF180_8_R3,ABF_011234,"(βAl-3HP)+, pyc2+, Δald6a, mdhA+",-5.998152748556549,5.865674427512177,-0.9796389050388868,0.08798097435145316,0.0
SF ABF180_9_R1,SF ABF180_9_R1,ABF_011236,"(βAl-3HP)+, pyc2+, Δald6a, purU+",-6.801906358772316,4.368487327398385,-0.738502967903666,0.07402088312265341,0.0
SF ABF180_9_R2,SF ABF180_9_R2,ABF_011236,"(βAl-3HP)+, pyc2+, Δald6a, purU+",-5.20722870978192,4.100207376390329,-0.9341267168354788,0.08005622869203187,0.0
SF ABF180_9_R3,SF ABF180_9_R3,ABF_011236,"(βAl-3HP)+, pyc2+, Δald6a, purU+",-6.572800277874693,4.238821582091564,-0.6813954715118206,0.06587917108524527,0.0
SF ABF180_10_R1,SF ABF180_10_R1,ABF_011239,"(βAl-3HP)+, pyc2+, Δald6a, Δadh1",-5.659606768457681,4.639857732754046,0.0,0.057671638951643754,0.0
SF ABF180_10_R2,SF ABF180_10_R2,ABF_011239,"(βAl-3HP)+, pyc2+, Δald6a, Δadh1",-7.3127369753034275,5.597457893084812,0.0,0.05685205935890319,0.0
SF ABF180_10_R3,SF ABF180_10_R3,ABF_011239,"(βAl-3HP)+, pyc2+, Δald6a, Δadh1",-3.4788245485134075,3.379668088462689,0.0,0.04389490028729497,0.0
SF ABF180_11_R1,SF ABF180_11_R1,ABF_011240,"(βAl-3HP)+, pyc2+, Δald6a, ΔiscA",-6.588372259834564,3.9106640961128827,-0.41333834397738434,0.13532380047211262,-0.017809032874429094
SF ABF180_11_R2,SF ABF180_11_R2,ABF_011240,"(βAl-3HP)+, pyc2+, Δald6a, ΔiscA",-7.454731893284036,3.588145840018832,-0.5037574094140308,0.11198680442315208,-0.02051800969781787
SF ABF180_11_R3,SF ABF180_11_R3,ABF_011240,"(βAl-3HP)+, pyc2+, Δald6a, ΔiscA",-7.063260859963787,4.0646495658181125,-0.511156599983302,0.07018252801627266,-0.018109436086371444
SF ABF180_12_R1,SF ABF180_12_R1,ABF_011241,"(βAl-3HP)+, pyc2+, Δald6a, ΔiscB",-7.460911448415898,3.8366611553976875,-0.5809192365593682,0.12868145864055988,-0.015698249019574097
SF ABF180_12_R2,SF ABF180_12_R2,ABF_011241,"(βAl-3HP)+, pyc2+, Δald6a, ΔiscB",-7.899449357839225,3.134414567929638,-0.43597392780695793,0.09787217597798206,-0.023048907475794717
SF ABF180_12_R3,SF ABF180_12_R3,ABF_011241,"(βAl-3HP)+, pyc2+, Δald6a, ΔiscB",-7.039062211432101,3.013030048760787,-0.5056894979526478,0.10232977375764045,-0.019838687429413394
SF ABF180_13_R1,SF ABF180_13_R1,ABF_011242,"(βAl-3HP)+, pyc2+, Δald6a, ΔscotA",-6.736844716819085,4.286191879826884,-0.5449435945566704,0.05186340814727385,0.0
SF ABF180_13_R2,SF ABF180_13_R2,ABF_011242,"(βAl-3HP)+, pyc2+, Δald6a, ΔscotA",-6.996788080811201,4.607029681936676,-0.6646065862226441,0.06456070014959765,0.0
SF ABF180_13_R3,SF ABF180_13_R3,ABF_011242,"(βAl-3HP)+, pyc2+, Δald6a, ΔscotA",-6.4954929110515165,4.40364509640517,-0.4748054878021238,0.052869609366450986,0.0
SF ABF180_14_R1,SF ABF180_14_R1,ABF_011243,"(βAl-3HP)+, pyc2+, Δald6a, Δech3",-7.0154092255391705,4.914653994595838,-0.5331443727967066,0.05074054740010288,0.0
SF ABF180_14_R2,SF ABF180_14_R2,ABF_011243,"(βAl-3HP)+, pyc2+, Δald6a, Δech3",-6.728058940027707,4.765274347904404,-0.5406717258431248,0.05021544583591553,0.0
SF ABF180_14_R3,SF ABF180_14_R3,ABF_011243,"(βAl-3HP)+, pyc2+, Δald6a, Δech3",-6.9238998404960705,4.218199707741621,-0.4193254145218608,0.04013516390879497,0.0
SF ABF180_15_R1,SF ABF180_15_R1,ABF_011244,"(βAl-3HP)+, pyc2+, Δald6a, ΔcoaT",-6.8842761536531585,4.869720777764032,-0.594295232063336,0.057609502976904536,0.0
SF ABF180_15_R2,SF ABF180_15_R2,ABF_011244,"(βAl-3HP)+, pyc2+, Δald6a, ΔcoaT",-6.44209486066479,5.455121872320106,-0.6435474503143239,0.07351431571703433,0.0
SF ABF180_15_R3,SF ABF180_15_R3,ABF_011244,"(βAl-3HP)+, pyc2+, Δald6a, ΔcoaT",-6.383190483172787,4.154947761651799,-0.5648588038108916,0.1926325633084303,0.0
SF ABF180_16_R1,SF ABF180_16_R1,ABF_010216,"(βAl-3HP)++, pyc2++, Δald6a",-7.042638476192546,4.724880923027127,0.0,0.14579696180772403,0.021111412196628605
SF ABF180_16_R2,SF ABF180_16_R2,ABF_010216,"(βAl-3HP)++, pyc2++, Δald6a",-7.500703059720817,5.887564458697786,0.0,0.18549826172491904,0.019576531001148735
SF ABF180_16_R3,SF ABF180_16_R3,ABF_010216,"(βAl-3HP)++, pyc2++, Δald6a",-7.777799947963735,5.298907978680556,0.0,0.2378209510877915,0.018503718699432486
SF ABF180_17_R1,SF ABF180_17_R1,ABF_011245,"(βAl-3HP)++, pyc2++, Δald6a+NeoR",-5.7528045380894675,7.027961683204535,-0.309779962371822,0.21366127619509898,0.012895676176240128
SF ABF180_17_R2,SF ABF180_17_R2,ABF_011245,"(βAl-3HP)++, pyc2++, Δald6a+NeoR",-6.2771276347115315,7.689920599876012,0.0,0.17001819160766743,0.021938698737759346
SF ABF180_17_R3,SF ABF180_17_R3,ABF_011245,"(βAl-3HP)++, pyc2++, Δald6a+NeoR",-7.919641491409097,7.655245908189708,0.0,0.1783741107650484,0.02797342322438712
SF ABF180_18_R1,SF ABF180_18_R1,ABF_011249,"(βAl-3HP)++, pyc2++, Δald6a, ΔiscA, ΔoahA-C5 ",-8.194040815450853,6.268666826895259,0.0,0.24279137141276222,0.030734236519402974
SF ABF180_18_R2,SF ABF180_18_R2,ABF_011249,"(βAl-3HP)++, pyc2++, Δald6a, ΔiscA, ΔoahA-C5 ",-6.6873013922470825,4.730006210333906,0.0,0.24650403246765365,0.010092813511712364
SF ABF180_18_R3,SF ABF180_18_R3,ABF_011249,"(βAl-3HP)++, pyc2++, Δald6a, ΔiscA, ΔoahA-C5 ",-6.625732079635989,5.328308211890789,0.0,0.24982051601327449,0.014419898128296381
SF ABF180_19_R1,SF ABF180_19_R1,ABF_011250,"(βAl-3HP)++, pyc2++, Δald6a, ΔiscA, ΔoahA-C7",-8.0631138109144,6.756309605003386,-0.3240309437320962,0.21890469818616384,0.043286548123355285
SF ABF180_19_R2,SF ABF180_19_R2,ABF_011250,"(βAl-3HP)++, pyc2++, Δald6a, ΔiscA, ΔoahA-C7",-5.918051160041128,3.8819969185639396,-0.36317681177815686,0.18822547199562176,0.022638471180076253
SF ABF180_19_R3,SF ABF180_19_R3,ABF_011250,"(βAl-3HP)++, pyc2++, Δald6a, ΔiscA, ΔoahA-C7",-6.169031280232366,6.583549273707842,-0.4291281015873979,0.19906559777704583,0.020261720653513705
SF ABF180_20_R1,SF ABF180_20_R1,ABF_011253,"(βAl-3HP)++, pyc2++, Δald6a, ΔiscA, ΔoahA, Δald3",-6.3250075690274326,6.785201925787749,-0.8166241016722988,0.19466905586694538,0.011775133085437497
SF ABF180_20_R2,SF ABF180_20_R2,ABF_011253,"(βAl-3HP)++, pyc2++, Δald6a, ΔiscA, ΔoahA, Δald3",-8.20323356242707,7.0826274146351995,-0.506244777923504,0.11374340548050446,0.026442097316132583
SF ABF180_20_R3,SF ABF180_20_R3,ABF_011253,"(βAl-3HP)++, pyc2++, Δald6a, ΔiscA, ΔoahA, Δald3",-7.812437999018734,6.12375528506308,-0.5328936943984675,0.1346404465791117,0.03575294474216411
SF ABF180_21_R1,SF ABF180_21_R1,ABF_011254,"(βAl-3HP)++, pyc2++, Δald6a, ΔiscA, ΔoahA, Δald3, ΔcoaT",-6.422452037902176,7.021447043289511,-0.6611167907855887,0.19468819580521338,0.01880967204930882
SF ABF180_21_R2,SF ABF180_21_R2,ABF_011254,"(βAl-3HP)++, pyc2++, Δald6a, ΔiscA, ΔoahA, Δald3, ΔcoaT",-8.077414831309817,7.237877417858464,-0.4974228642571508,0.1521855303060946,0.022418778099332154
SF ABF180_21_R3,SF ABF180_21_R3,ABF_011254,"(βAl-3HP)++, pyc2++, Δald6a, ΔiscA, ΔoahA, Δald3, ΔcoaT",-7.027410332683751,7.422561714222581,-0.695276350702782,0.16976308309939042,0.03931966705931032
SF ABF180_22_R1,SF ABF180_22_R1,ABF_011255,"(βAl-3HP)++, pyc2++, Δald6a, ΔiscA, ΔoahA, Dald6b, Δald3, ΔcoaT-4",-7.892183141789768,7.528828846312892,-0.887356308533161,0.16024474031298477,0.025145945950032292
SF ABF180_22_R2,SF ABF180_22_R2,ABF_011255,"(βAl-3HP)++, pyc2++, Δald6a, ΔiscA, ΔoahA, Dald6b, Δald3, ΔcoaT-4",-8.101947362981086,8.476370928557829,-0.7353776411820147,0.2146611599741431,0.03739955206133198
SF ABF180_22_R3,SF ABF180_22_R3,ABF_011255,"(βAl-3HP)++, pyc2++, Δald6a, ΔiscA, ΔoahA, Dald6b, Δald3, ΔcoaT-4",-7.861384798728351,8.722218518503253,-0.8169466335767198,0.1767932771461418,0.016514952043570192
SF ABF180_23_R1,SF ABF180_23_R1,ABF_011256,"(βAl-3HP)++, pyc2++, Δald6a, ΔiscA, ΔoahA, Dald6b, Δald3, ΔcoaT-10",-6.555259703226295,2.30932578407414,-0.569866887419593,0.06735704179977112,0.007506987400949759
SF ABF180_23_R2,SF ABF180_23_R2,ABF_011256,"(βAl-3HP)++, pyc2++, Δald6a, ΔiscA, ΔoahA, Dald6b, Δald3, ΔcoaT-10",-6.2089169571655045,3.0061620795082864,-0.7606242686896325,0.0813454865383904,0.008536431773009395
SF ABF180_23_R3,SF ABF180_23_R3,ABF_011256,"(βAl-3HP)++, pyc2++, Δald6a, ΔiscA, ΔoahA, Dald6b, Δald3, ΔcoaT-10",-7.140623358004099,3.541703180279301,-0.943180738480024,0.08607068961484421,0.007875660295738624
SF ABF180_24_R1,SF ABF180_24_R1,ABF_010214,"(βAl-3HP)++, pyc2+, Δald6a",-7.0611178991244925,5.959778283436457,-0.27522770592768186,0.15153162827808664,0.01687214197650804
SF ABF180_24_R2,SF ABF180_24_R2,ABF_010214,"(βAl-3HP)++, pyc2+, Δald6a",-5.101784720433119,4.421721631341132,-0.2674159554384654,0.19230047574237744,0.01585564018622625
SF ABF180_24_R3,SF ABF180_24_R3,ABF_010214,"(βAl-3HP)++, pyc2+, Δald6a",-6.531199612144264,5.023040655115998,0.0,0.12732240471824893,0.01606864431252925
