Line Name,growth_rate,glucose_uptake_rates (mmol/gDCW * hr),3hpacid_secretion_rates (mmol/gDCW * hr),ethanol_uptake_rates (mmol/gDCW * hr),erythritol_secretion_rates (mmol/gDCW * hr),citricacid_uptake_rates (mmol/gDCW * hr)
SF ABF180_1_R1,,0.6093449687631395,0.0,0.12627059381712774,0.0005427110084682429,0.0021889163246015713
SF ABF180_1_R2,,0.5667000732211503,0.0,0.10801310982149755,0.0019291202552792744,0.0015897813820502248
SF ABF180_1_R3,,0.544113648875831,0.0,0.172138521078703,0.0016303120489814093,0.0015220932119650486
SF ABF180_2_R1,,0.9444674261141273,0.325045391563841,0.05619441191254927,0.0036047928905366404,-0.0002090032177340701
SF ABF180_2_R2,,0.9227272264828711,0.33442878308571183,0.08590961735129832,0.0008456405292805636,-0.00046749837270286705
SF ABF180_2_R3,,1.013442862263005,0.34455950991719975,0.03034558367314214,0.0028793633154502556,0.00033997419608500825
SF ABF180_3_R1,,0.9614896505108629,0.5382251086438486,0.0864441633140453,0.005594433382957008,0.004005148247320101
SF ABF180_3_R2,,0.97989201758975,0.49235247906914914,0.10731730321007638,0.007076726039487577,0.00515464196890718
SF ABF180_3_R3,,0.9054273261709216,0.4712491287892392,0.10395989688304767,0.008616403420508543,0.005477159761465478
SF ABF180_4_R1,,1.1995131174617806,0.9139661031111529,0.09234510205954603,0.011859707961066333,0.004532170222312789
SF ABF180_4_R2,,1.0013810236589302,0.733005852396925,0.12259217930621252,0.006288213747787157,0.005819186171449799
SF ABF180_4_R3,,1.0208075542813755,0.8974872838306296,0.1298868351044542,0.013937500774220079,0.004060347575888221
SF ABF180_5_R1,,1.2684324161135097,1.066386979331186,0.19710542991018895,0.0020616342971163746,0.0
SF ABF180_5_R2,,1.0673164980896996,1.0150252784880152,0.17147056289200716,0.0027524245980840635,0.0
SF ABF180_5_R3,,1.3641497728618674,1.1589942654965664,0.18557384437894153,0.0038221029386815053,0.0031671390798171167
SF ABF180_6_R1,,0.7464084310806992,0.49466914961204467,0.07834534585847895,0.013125946240151802,0.00017344457345445734
SF ABF180_6_R2,,0.8950309751228289,0.4955465868713819,0.07906535368262331,0.020413940228998406,0.002091287051497267
SF ABF180_6_R3,,0.8830120341934572,0.43751903672532105,0.09075348225579125,0.01399882998063463,-0.00025522024725817987
SF ABF180_7_R1,,0.8122196587914997,0.730605926202961,0.09544860227628718,0.00959342833406061,0.005779848726231536
SF ABF180_7_R2,,0.9995079277916653,0.9510762368702013,0.07704838522680424,0.006418592097997632,0.0
SF ABF180_7_R3,,0.9210705300555653,0.8264192586007407,0.09295698296775924,0.006166396643885411,0.0
SF ABF180_8_R1,,0.9175107087196058,0.6734029599667006,0.08021470052164438,0.010345417049049488,0.0
SF ABF180_8_R2,,0.7766980566382214,0.6093813002136312,0.10890374357133042,0.008805800046003048,0.0
SF ABF180_8_R3,,0.9555569198145645,0.934431245614944,0.15606643220880645,0.014016106365398242,0.0
SF ABF180_9_R1,,1.083601729015795,0.6959218594332907,0.11765102700495653,0.011792146919275806,0.0
SF ABF180_9_R2,,0.8295559708454956,0.6531835228423405,0.14881587813996816,0.012753628088831912,0.0
SF ABF180_9_R3,,1.0471031752309392,0.6752654583046218,0.10855322266535751,0.010495103925034258,0.0
SF ABF180_10_R1,,0.9016236561977294,0.7391525210553872,0.0,0.009187575395422516,0.0
SF ABF180_10_R2,,1.1649814055098877,0.8917030114220852,0.0,0.009057009379634228,0.0
SF ABF180_10_R3,,0.5542064381071197,0.5383980137982483,0.0,0.006992825347736103,0.0
SF ABF180_11_R1,,1.0495839247516574,0.6229883311452233,0.06584899835554518,0.02155821531815933,-0.0028371256564424423
SF ABF180_11_R2,,1.187602407795499,0.5716095613371379,0.08025367426523773,0.017840436279557042,-0.003268687982697751
SF ABF180_11_R3,,1.1252377313845963,0.6475189858517,0.08143244047148225,0.011180664760588281,-0.0028849824497971395
SF ABF180_12_R1,,1.1885868636605599,0.6111992928154382,0.09254633738799811,0.020500034600721428,-0.002500860484111804
SF ABF180_12_R2,,1.2584496949739297,0.4993279024969134,0.06945507686680588,0.015591857754148926,-0.003671880944975278
SF ABF180_12_R3,,1.1213826802330085,0.4799907421097536,0.0805614756035671,0.016301990354322574,-0.0031604664374345125
SF ABF180_13_R1,,1.0732368541687758,0.6828117835198467,0.08681505198893927,0.008262275448310786,0.0
SF ABF180_13_R2,,1.1146480503806895,0.7339228485404902,0.10587858258172152,0.01028506042188158,0.0
SF ABF180_13_R3,,1.0347874518639346,0.7015226677107824,0.0756413389794707,0.008422571801787604,0.0
SF ABF180_14_R1,,1.1176145577524912,0.7829289387112953,0.08493531613756279,0.008083394308210782,0.0
SF ABF180_14_R2,,1.071837205099519,0.7591320145158962,0.08613449997633263,0.007999741341394367,0.0
SF ABF180_14_R3,,1.1030363318070244,0.6719802907989771,0.06680279957418853,0.006393867875009616,0.0
SF ABF180_15_R1,,1.0967239402648843,0.7757708526342455,0.09467726935038867,0.009177676593773108,0.0
SF ABF180_15_R2,,1.0262806868797327,0.8690281722153941,0.10252364824685828,0.011711446419482833,0.0
SF ABF180_15_R3,,1.0168967167488816,0.661903939670389,0.0899877472761905,0.03068798143156609,0.0
SF ABF180_16_R1,,1.121952409668188,0.752697140119048,0.0,0.023226677644374402,0.0033632218889286165
SF ABF180_16_R2,,1.1949260069467482,0.9379184370268082,0.0,0.029551427394947014,0.003118702721630429
SF ABF180_16_R3,,1.2390699058250514,0.8441425182777678,0.0,0.03788687027470401,0.0029477948196492488
SF ABF180_17_R1,,0.9164708561425723,1.1195894131286588,0.049351095811664435,0.034038031522838366,0.002054387506395537
SF ABF180_17_R2,,1.0,1.2250427760983145,0.0,0.02708532248026104,0.0034950155370960466
SF ABF180_17_R3,,1.2616664741480168,1.219518924567578,0.0,0.02841649050033165,0.004456396820134932
SF ABF180_18_R1,,1.3053806280930285,0.9986299485643348,0.0,0.03867869985021327,0.004896217228357223
SF ABF180_18_R2,,1.065344179862931,0.7535136239810524,0.0,0.03927015786871602,0.001607868329173696
SF ABF180_18_R3,,1.0555356628804007,0.8488261223546106,0.0,0.0397985014681854,0.00229720860290093
SF ABF180_19_R1,,1.2845228390182304,1.0763138796791936,0.0516214220374325,0.034873352675660156,0.006895903882918917
SF ABF180_19_R2,,0.942796053219061,0.618421506514471,0.057857756608015884,0.029985894873559703,0.0036064951033540718
SF ABF180_19_R3,,0.9827793281760109,1.0487922955864173,0.06836446712331938,0.031712817735510476,0.003227859089992656
SF ABF180_20_R1,,1.0076276820666143,1.0809165707385178,0.1300965174549202,0.0310124117243465,0.001875875803031482
SF ABF180_20_R2,,1.3068451111587778,1.128297937248121,0.0806499373016792,0.018120277517804578,0.004212443995051623
SF ABF180_20_R3,,1.2445880429548741,0.9755448158499768,0.08489538048840166,0.021449351281151337,0.005695738702927221
SF ABF180_21_R1,,1.0231514175346343,1.1185515984277468,0.10532262267021522,0.031015460891714364,0.002996535775955443
SF ABF180_21_R2,,1.2868011136299693,1.1530300385263061,0.07924451679901595,0.02424443013033658,0.0035714961103264615
SF ABF180_21_R3,,1.119526436511599,1.182451169774301,0.11076458764833462,0.027044681571751033,0.006263947059212961
SF ABF180_22_R1,,1.257292124782225,1.1993800549202962,0.14136487684251942,0.02552832984316832,0.0040059564200503614
SF ABF180_22_R2,,1.2907093552281759,1.350328243201699,0.11715313079136391,0.03419732136432823,0.005958056946636563
SF ABF180_22_R3,,1.2523856858336055,1.389492992756424,0.13014790006709337,0.02816465046379507,0.0026309680096344335
SF ABF180_23_R1,,1.0443088119961645,0.3678871365081169,0.0907855858142885,0.010730541066079851,0.001195925021231867
SF ABF180_23_R2,,0.9891334568294123,0.4788966403208803,0.12117517499441552,0.012959017549378279,0.0013599238668088173
SF ABF180_23_R3,,1.1375622375962275,0.5642110136838484,0.15025827577104078,0.013711782097443517,0.0012546576561245372
SF ABF180_24_R1,,1.1248963395009246,0.9494224600923391,0.043846570330652604,0.024140258051391195,0.002687871303415024
SF ABF180_24_R2,,0.8127578435228908,0.7044023501214383,0.04260207911469253,0.030635077103264508,0.002525934230255781
SF ABF180_24_R3,,1.0404758341717968,0.8001954751740972,0.0,0.02028352587503531,0.0025598674484823987
